Zeitstempel,Enter your personal code or first name,Which sampling method did you use?,How long do you believe the mind wandering lasted approximately?,"Was your mind wandering social?
(this could mean anything from a conversation to only feeling the ""presence"" of others)","What was the type of interaction? 
(Select all that apply)",Felt Purpose (Select all that apply),Where emotions present in your mind wandering episode?,What was the general valence of your emotions? (Select all that apply),Rate overall intensity of emotions,"Did you feel like you decided to mind wander at some point?
(at the beginning or during the episode)",Did you feel as if you had control over your mind wandering during the episode?,How easily could you have stepped out of mind wandering?,How aware were you about your environment?,"Describe the mood of your mind wandering episode in max. three words. 
(For example joyful, kind, grateful, connected, focused, curious, mindful, relaxed, neutral, empty, playful, disinterested, distracted, restless, tired, anxious, overwhelmed, melancholic...)","Please describe your mind wandering: the context, where have you been, what did you do, and how did it start and end?",Describe what it was about (content) and how you experienced it (how it presented itself to you).,"Your comments: please add here any comments about the episode or the survey that you find relevant. Special cases of MW experience, something that happened, but didn't appear in the questionnaire, anything."
09.01.2023 15:33:50,3602,Random sampling,< 1 Minute,No,,Playing around,No,,,No,No,6,7,neutral,"I am in the kitchen, peeling the carrots, as I will prepare lunch soon. I am just absent-minded from this manual task, I don't know how the MW episode started, but a beep found me in it.","i was playing with words, in Serbian, I have this game that I play where I try to realign the words in such a way that the letters are aligned like consonant-vocal-consonant-vocal no matter the initial structure of the word... and there are specific rules that I have invented for how this can be done, and I am playing that game as I am cutting the carrot. The words are just random words that pop-up in my head, also some are names of objects around me (I am really good at this completely unnecessary game because I've been doing it since childhood). I don't see them, but I do feel the muscles in my mouth and throat, not move, but I am just aware of them, as if there are small impulses there, as if I am speaking out those syllabyes. There was one longer and harder word and I briefly visualized some of its sylabyes, like lettters, in white transparent color, 3D, simple font, and then I was moving them in some black space. There is also some kind of rhythm following this activity, but this is kind of in the background of the whole experience",
09.01.2023 15:42:42,3602,Purposeful sampling,< 1 Minute,Yes,Activity,Imagination of future,Yes,Positive,5,No,Yes,6,2,"Playful, connected, relaxed","I was in my bed and I was trying to fall asleep but I couldn't, so I lied on my back and tried to force myself into a relaxing episode of mind wandering that will put me to sleep. The episode started with me consciously deciding to mind wander and I don't know if it ended, I either went into another direction with my mind wandering, or I actually fell asleep","I was just imagining how my bf and I are going to have a great time on our weekend trip, so I visualized how we are riding on the train to get there and then I was adding to coziness in the scene. I added that we have a blanket, then a thermostat full of tea, and then also a boardgame. I know on an unsymbolized level that it's super warm on the train, and also that there is a specific smell of the inside of the train. Then, on my mind there was an image of the train that I was in when I was going to and grom Grunau im Almtal when I was in the Alps last summer, and just felt cute to the thoght of that train.",
13.12.2022 15:15:33,3866,Purposeful sampling,< 1 Minute,I don't know,,Problem solving,Yes,Negative,6,No,Yes,5,7,"heated, tense, disbelieving","I was walking because I already felt unsteady and tensed. I listened to a new album of one of my favorite artist. But the lyrics kicked me in a really bad mood, because its about hard times and a personal fight. It felt that something was building up inside me that made me very angry. Like a balloon  which was inflated until just before bursting. I was then looking towards the street and the building, when a really small sequence came up to my mind.  the appearance started somehow with an imaginary klick. Before I could classify this emerging image in my head, it was already gone. After that I just walked on and listened to the music in my ear.","Just for a few seconds I imagine out of my own perspective how I set the buildings on fire and in one of my minds corners was a picture of a burning world. But it was separated to the burning buildings. I perceived it from my own point of view, so there was an imprint of myself which I could only perceive, not see in my mind. This presence of my self has looked at the scene from my eyes. It felt like a miniaturized magnifying glass with the same perception. The tension that set the scene in motion began in my stomach and built up, taking more and more space until it reached my mind. Then I heard a kind of click, like a lighter opening, without seeing it as an image in front of me and suddenly the buildings were framed with fire. Curiously i remember that a silent voice in my brain ask me why the flames are around the houses like a cover but not really burning them down. However, this was really only briefly. I felt like I created the scene myself, although I was drawn in more by the buildup of tension. Therefore, I had a sense of power over the scene, nonetheless I didn't stop it myself. It was just gone in one fell swoop and I was back to looking at the normal buildings without the mental image of it. The weird part was that all this were covered in the lyrics of the song. But i cannot remember what the lyrics was in these few seconds. It was more as if the music were played in the background to underline the scene. ",
13.12.2022 16:22:09,3866,Random sampling,1 - 5 Minutes,Yes,Activity,observing the scene,Yes,Neutral,4,I don't know,No,6,3,"curious, searching, participative","I was sitting infront of my computer, watching a video about environment and pollution and the production of e-waste resources. The min-wandering started somehow after coming into the content of the video and end up with the video. ","I was wandering beside the content of the video, my main attention was going with the pictures of the viedeo, but on one point i lost the spoken words of the protagonists and started to drawn into the situation what was shown on the screen. I felt like an invisible ghost walking into the situation of the workers in the e-waste burning areas. My participation in the images drew me into the scenes like a string and made me feel the whole thing with an intensity that felt like an accompanying character. It was as if I had walked through a curtain to be closer to the action and to give comfort, but the people involved could not see me. I was aware of that. I was there, but only as an essence not as a participant. I walked next to the protagonist and observed what is going on, but I didn´t interact. There was no spoken word, more like a non-verbal exchange of impressions. I felt as if i should do something but i didn´t know what, except of absorb what is shown to me. Something hold me in the pictures. I had the sense that I should be there and on the other hand I could not enter. This made me sad but  also relieved. The feeling of relieve brought me a positive vibe and strengthened me in the certainty to simply stay where I am, although I could not help there. Threw the episode I changed from disbelieve to reliev, to wanting to help, to be glad to be where I am.  A roller coaster of emotions. Through the confusion it brought me back down to earth. With the end of the video, I was thrown back into reality I felt. The only thing that was left was a freeze frame and the tee of desolation inside me. I was still sorting myself out when the beep came. So I thought I would write this down ",
16.12.2022 12:13:15,3866,Random sampling,< 1 Minute,Yes,Activity,Planning,No,,,No,No,4,3,"happy, relaxed, excited ","I was reading emails, sitting on the table in our kitchen. I don´t know when it started but it ended with a fright second over the upcoming beep sound. ","I was seeing myself in a crowd in the city doing my yearly shopping for Christmas. I didn´t talked to someone but there were a lot of people, like a stream that passes by. I felt like as if i would swimming in between of the unknown people and finding my way without knowing where I want to go. It was more like a pull in a direction, and it felt right to be there. I was excited which presents I will buy, also without knowing what I want to buy. The scene was more like an imagination without really wanting something. Like a happy rush coming from my inside. I had a warm sense according to it. ",
16.12.2022 12:59:06,3866,Random sampling,< 1 Minute,No,,Asking myself something ,I don't know,,,I don't know,I don't know,6,6,"curios, interested, focused","It was really short. And somehow connected to what I actually did in the moment. I was reading about equality and equity in education. And I jumped from different pictures in a short sequence from what equality means for me, but the main part was that the question what is equality got for a second a corpus in big written letter. It started with the word equality and ended after i jumped in my mind to the last of 3 short pictures. ","So the word equality transformed to the question what is equality? Then it got bigger and bigger and shaped in a specific way to a writing style of word or in instagram. And I was focused on the question but behind that there were 3 little sequence from blurry images what equality means to me. They were not sharp, so I did not really see them, but only perceived them, nevertheless i knew that they were there. It was like a background movie with a meaning of deep sense to myself and the visualizing part was not that important, therefore the pictures stepped into the back of my consciousness. For me the question was much more important. I know that because it felt really present and urgent. Behind the words was standing a pressure what pushed the question even more in the center of my mind. As if something of great importance happens without that I can describe it correctly. it felt fundamental, circumstantial and curious. ",
16.12.2022 13:49:18,3866,Purposeful sampling,1 - 5 Minutes,Yes,Other,Passive replaying of a memory,Yes,"Positive, Negative",4,I don't know,"Both, it changed over time",4,4,"grateful, distracted, mindful","I had to organize some stuff for the shared apartment in germany for what i am responsible off but currently not on site, although there is a lot to organize because there will be many changes soon. And with the things i had trying to figure out, something in my mind changed and brought me to times of past memorizes. I don´t know when it ended or how long it lasted in total. ","It was about memorizes which i had experience in this apartment in older times. It started for with the beginning, the the foundation of the shared flat, over to moments of joyness and hard times, to the point where the situation changed. I saw the people who where included, what we did, how i felt. I was drawning in my memorize. I just let myself drift, let the memories take effect on me, i let myself be pulled along without having any control. Just to experience again the copy of what had really been, was irritating and yet also envelopingly beautiful. It changed in myself from happiness to sadness and back, when i kind of tried to collect the sense of the scene much more the feelings slipped away from me, they should just go with the flow and be there. I also didn't think much about whether it was right or wrong what came up in me, I just wanted to recite it. Only after a while I noticed that my mind slowly tried to categorize what I was experiencing in my mind. But somehow it has not really bothered me or interested. I just wanted to see what my memories were showing me, because that was a time that did a lot to me. It was like being carried away.",
20.12.2022 16:11:58,3866,Purposeful sampling,< 1 Minute,No,,"Planning, wish",Yes,Neutral,3,Yes,Yes,5,7,longingly,"I was in my room, thinking about my current situation and what I have to do and a wish came up to be far away. Thats how it started. And it ended with the realization that it doesn´t matter and it will not help currently.","I had the urgent need to be far away and thus invoked mind-wandering. Much more, I think I put myself there and even created the image in my head of a lonely island under palm trees. It felt like an upcoming wish inside me. It appeared to me as something tangible, a sog in the right direction. I didn´t want to push the wish away, rather i wanted to absorb it and transfer myself into particles which will bring me  to the place i imagine. It was a bright picture and it relieved me a bit from the pressure within my inside. The pressure felt like if someone would stand on my chest, a dull feeling of being tied up. I could saw my surroundings but i knew i would prefer to be apart from that. First my feelings were negative, then one second with the picture positive and then it started to annoy me. It felt like a huge gap because I was here in my reality and not there in my invented wishful thinking. Then I decided to cut my visual wish because i tortured myself and it was not the upcoming reality.","I think its not social because I wished the island would be without people, but wishing to be without people is kind of thinking about people too. Makes it then social? "
21.12.2022 11:07:08,3866,Purposeful sampling,1 - 5 Minutes,Yes,Activity,Passive replaying of a memory,I don't know,,,No,No,4,4,"melancholic, thankfull","I was sitting in my english class in which everybody has to hold a presentation. In this situation a girl was holding her presentation about orcas, I were just listening. The mind-wandering were somewhere in between the presentation.  ","Seeing the pictures of the orcas reminded me of my time in Australia and this one particular scene in Byron Bay where I was standing with friends on a high point at the coast and we saw whales swimming through the ocean. In my mind I was going back to the place. I felt people beside me, but I didn’t saw them. Everything felt pretty calm, as if something came inside me to a point of silent. Infront the whales were swimming in the waves and create a flow like a sequence which is music in your ears. Nothing else was there, just these whales swimming and me watching them. I felt present but on the same hand far away. I enjoyed it and a warm feeling was going beside this mental pictures. I have no idea when it started or ended, but somehow i wished it didn´t ended at all. The contours of the whales were sharp, the rest was blurrier.",
21.12.2022 11:32:01,3866,Purposeful sampling,1 - 5 Minutes,Yes,"Conversation, Activity","Problem solving, Imagination of future, Creating a not realistic scene ",Yes,Negative,6,Yes,"Both, it changed over time",3,4,"angry, frustrated, tired ","I was reading news about the world, like the Iran conflict. etc. on my laptop. It started with reading the texted about the current situations that they trying  to achieve chastity and obedience with rape. I was so angry that I kind of jumped in my kicking ass imagination of what I would like to say to this a*********. It ended when I was done with all I wanted to say. ","In my imagination, I stood in front of a faceless group of people and shouted at them. Because the mind wandering session is a little longer ago, I cannot reply what I actually said but I was really really angry, so probably  I insulted them and then told them what I thought of the whole thing and ask them who shited in their brain that Inhumanity like this can rise. A firework of negative emotions exploded in me and kept me where I was. I knew this is an unrealistic scene, but I felt kind of helpless and wished I could do something but to channeling my feelings i needed this mental dissection. this urgent feeling building a wall of all the unsaid words, and I tried to break it down stone by stone, to throw the stone words on the head of this disgusting regime and men. Because I was in such a state of rage, I got more and more involved. I really could not stop in between, but I was aware that I was safe and could say and do everything without any consequences. This imagination wall out of words made me brave. I could feel my anger circulating in my stomach. The people didn´t respond. They were only standing there and do nothing, they had no faces, only shapes. When I was finish with saying what I wanted to say; I got control back and Then I had the feeling I could step out of it.",I don´t know if i forced myself to do that because I had the feeling to do something or if I just started to mind wander into my creation of what I would like to say 
27.12.2022 17:40:37,3866,Purposeful sampling,< 1 Minute,No,,Passive replaying of a memory,No,,,No,No,4,6,,"sitting on a table playing and depilating my hair elastic that I always have on my wrist. It only came up, i can´t say anything to start or stop  ","I was looking at my hair elastic and jump in my mind back in time to the scene when I bought it. The memory came to me like a kind of popping. The transition from the moment i looked at it to my memory and back was very smooth. Although it felt short, which is why I perceived the whole thing as more of a leap. A slight surprise went along with it, but i recognized it more in the background. I experienced it with a focus on my hand as a picture, grabbing the pack of elastic bands. The rest was not in the focus at all.",
30.12.2022 17:59:45,3866,Purposeful sampling,< 1 Minute,Yes,Observing / Analysing others,a kind of memory with a copy of the real one on the side,I don't know,,,I don't know,I don't know,5,5,"irritated, kind of confused ","I had english class at the evening in the university and the teacher came late. I was standing on the gallery, waiting, when downstairs a man walked by with a jacket which looked like a doctors smocks. Somehow my brain made a mixture of visual seeing and a memory from the time I worked in a hospital. ","I saw the man walking but beside that there was a memory of a walking doctor in the same coat back in the hospital. Both in the real world and in my imagination ran side by side. the memory was a little more inversible like shadow or a ghost from what i was seeing. The situation was like an echo, the imaginary doctor had no real recognizable features, it was like a lot was projected onto the real person running downstairs, knowing that it was a memory. Its really hard to describe. ","in this episode i had really problems to figure it out how it presented to me. therefore the description is short, i lost the point on one moment i think. "
30.12.2022 18:24:30,3866,Purposeful sampling,< 1 Minute,Yes,felt hallucination from fatigue,Imagination of future,Yes,"Positive, Negative",5,No,Yes,5,6,wishing ,"I was in a night class, listening to a presentation. It started when the person who did the presentation said something about sleep. ","For a really short moment i saw small circle with a picture of a bed around the head of the person in front of me.  I counted 6 pieces which rotated around the head. It was more like a writing emoji in black and white, really simple. Nothing was written but i still heard the voice of the person. In this moment the voice, however, consumed more like a kind of computer voices sequence. I felt really tired and with this feeling my brain brought up these beds. I wished would be closer, but i was frozen on my chair. It came to me like a program that sends these emojis and everything got from normal to slow and back to normal. In this short time, the voice consumed simultaneously. As if someone had very briefly slowed down the time. I was still afraid that I fall asleep here and now, or that this is a kind of hallucination.",
13.12.2022 17:36:10,3876,Random sampling,< 1 Minute,Yes,Activity,Planning,Yes,Negative,6,Yes,No,3,6,"Anxious, overwhelmed, angry","I was in shoping mool, sitting on bench and observing how people are dressed. I was looking how they walk what expression do they have on their face. My mind wandering start when i say to myself in my mind, that I need to plan and organise this week. I can hear the sentence in my head with my voice : “what I will do this week” and mindwandering end when the feeling was so overwhelming I become angry on me become of thinking about holidays in this way.","I say to myself my cousins are coming on friday. Suddenly I see picture of me, my boyfriend and cousins driving in his car. It was from first person perspective and I was sitting in frond and look true first car window. My boyfriend was on the left driving. And then a thought come, what if there will be car accident, i can kill both children of my aunt. It was my voice in my head. I feel the tension in my body, especially over sholders. And then I become angry on me for thinking in that kind of way. I could not run from this heavy feeling of fear, i stop breathing for a moment.",
14.12.2022 19:44:56,3876,Random sampling,1 - 5 Minutes,Yes,Conversation,playing around with ideas ,Yes,Positive,6,Yes,Yes,6,5,"feeling of warmth, feeling of care, good about myself","I was home at kitchen, eating toast. Mind wandering started when I took toast out of toaster and it end up 5 min later, when I heard sound of beeper.","The moment I heard the beep, I said to myself aloud: I want to see who Lina truly is. I already know you are beautiful, smart young lady. I imagined that we were walking along Šutna. It was dark outside, but the street was illuminated by lights. I saw us from a bird's eye view, walking down the street and talking. I started the conversation with the above sentence. I tried to guess her reaction. She didn't respond to my words, she was just present, I had the feeling that she was listening to me. I experienced this, as a combination of a quick image of us walking down the street and an inner dialogue. Me talking to her. I formed whole sentences, like she was real and really listening me.",
14.12.2022 20:15:19,3876,Purposeful sampling,> 10 Minutes,Yes,Activity,Planning,No,,,No,No,3,3,"neutral, focused, trying to organize my inner world","I was driving in the car with Jože, we were sitting in silence, I was looking in front of me. I think it started with my need for predictability, to know what awaits me in the coming days. I realized that I was mind wandering  all of a sudden.","I started planning what I would do tomorrow, how I would go to the job, I ask myself, what if I will be late. I didn't feel any emotion. I was just connection data together, and there was feeling of relief that the pieces of the puzzle are coming together, and I have greater control over my life. I asked myself in my mind (hearing my voice): “How it is for Andrea to work in warehouses” and then I answered to myself: “She is probably already used to this work.” For a second I felt a picture of warehouse. Just a lot of boxes and wall, light was on. I did not saw a boss, but I can feel her essence. I didn't see the picture, I just felt it. ",
14.12.2022 21:35:18,3876,Random sampling,1 - 5 Minutes,Yes,Other,Active replaying of a memory,Yes,Positive,2,No,No,3,5,"curious, ","I was at home, in the toilet. I started to mind wonder when I decide to observe my well-being. I noticed that I wasn't nervous at all about the exam I had in the afternoon, which surprised me. Then I compared this feeling to the feeling I get when I wake up in the morning before I go to work. I'm surprised how relaxed I feel in the morning before work, then I try to think  what is my favorite moment from the work so far and I remember the exchange in Poland. My mind wandering end when my boyfriend started screaming, that my phone was beeping.","I can feel the picture of my boss and the boss of the Polish organization, how they interact. I don't feel the conversation and I don't hear the words, I just know that they are connecting. It is like one picture that is eternal. So a long film composed of this image, which is repeated hundreds of times. Then I say to myself in my mind: ""It's a shame that Boštjan's friend isn't there"". I saw a next picture, it was a memory.  A picture of the dining room in Poland where I was three months ago. I saw small tables and chairs and noticed the low ceilings. I felt the same feeling as when I first saw the dining room live. wow it took my breath away, I could feel the magic. Like a pleasant thrill in my body. I looked at the dining room in first person perspective, towards the door where the kitchen is. I felt a lot of wood.",
15.12.2022 19:35:22,3876,Purposeful sampling,5 - 10 Minutes,Yes,Observed by others,imagine  future event,Yes,Positive,6,Yes,"Both, it changed over time",5,5,"excited, connected, feel good about myself","I was on the bus. I sat alone by the window and looked out. I asked myself (in my mind):"" What I would give Andrea for a thank you gift. Because she is such a great mentor?"". This question push me in a mind wandering. After five minutes I realized I was fantasizing. That's when it ended.","I asked myself what I would give Andrea for a thankyou gift. Because she is such a great mentor. I said this to myself in my mind, I heard my voice and my vocal cords moved slightly when I said this sentence.  I get ideas, like a quick pictures, with a description in few words. However, I don't stop at any idea because I'm looking for a specific sense of excitement. At the same time a am feeling the presence of Andrea and my group and measuring how excited they are about the gift ideas.I feel that I got the right idea. I know that this is the right one. I will make a calendar with their pictures. I can feel how happy she is with the gifts. In my mind I imagine a calendar that contains pictures of Andreja and my group together.
I can see myself from afar showing them the calendar for the first time. I feel a sense of pride, satisfaction. They admire me.",
25.12.2022 09:56:24,3876,Purposeful sampling,1 - 5 Minutes,Yes,Observing / Analysing others,Playing around,Yes,Positive,5,Yes,Yes,6,6,pride and satisfaction ,"I am lying in bed waiting for Jože to come while I listen to a Tedx lecture. The topic was how to find your passion. As I listened to the lecture, I began to wonder what it would be like to explore how people experience satisfaction with their lives. After half an hour, I realised that I had thought that.","I think about what it would be like to research how people experience life satisfaction. The immediate next thought I say to myself in the form of a sentence is: ""That would probably be very difficult to research"". Then I reply to myself in my mind, ""First I would ask them how they experience their life and then whether they think they live better than their life objectively looks."" I continue the conversation with myself, ""I am satisfied with my life, I could probably achieve much more. "" Then I repeat the next sentence to myself three times in my mind, ""Why should I, why should I? Why should I? I feel pride and satisfaction when I realise that I am satisfied with the point in my life.","In the beginning there were feelings of curiosity, slowly I became intoxicated with the thought, I felt myself coming to even more pleasant feelings, when I answered within myself: 'Why should I?' I felt pride and satisfaction. I felt good about myself."
25.12.2022 10:11:56,3876,Purposeful sampling,1 - 5 Minutes,Yes,"Conversation, Activity, Observing / Analysing others",Active replaying of a memory,Yes,Negative,5,No,No,3,2,"feeling of insecurity, anger","I got out of the shower and wrapped my wet hair in a towel. I put the towel on the shelf where my phone was, and YouTube was playing. I concentrated on the song that was coming from my phone. The song and the voice seemed familiar to me. I recognise the band and it reminds me of a friend. Then I started to wander around in my mind about our friendship. Suddenly I realised that I was wandering around in my mind. I became afraid of whether I would be able to describe this experience in detail.","I see a singer on my phone screen. I said to myself, ""That's Taboo."" As soon as I realise this, I start seeing a picture of Suzy and me sitting at the bar at Fartko's, drinking cocktails. I look at the memory of our meeting. I just feel the essence of the room (a certain sense of atmosphere) and I see a pale picture of us from a bird's eye view. Immediately afterwards, a feeling of insecurity and anger attaches itself to this memory. I hear myself saying 'we have lost contact'. I remember her words, I hear them in my head in her voice: "" You and Jože are both a bit strange"". I don't see when or where she said it, I only know that she said it once. I think they are going to move now. I see a mental picture of her and her boyfriend in their new apartment from a bird's-eye view. An unpleasant feeling washes over me. I feel tension in my body, my neck tightens, I feel a heaviness in my muscles. In my mind I say to myself: 'We are strangers now'. ","Even when I started to realise that my mind was wandering, the unpleasant feelings remained, this atmosphere of tension and anger stayed with me for 10 minutes more, after my mind wandering episod finish."
25.12.2022 10:26:18,3876,Random sampling,1 - 5 Minutes,Yes,"Activity, Observing / Analysing others","Planning, Passive replaying of a memory, Problem solving",Yes,Neutral,2,Yes,"Both, it changed over time",5,5,"I felt reluctance at the beginning, but satisfaction and curiosity at the end.",I cut my nails in the bathroom. I don't know how I started wandering through my mind. I finished when I heard the phone and wondered if it was a beep.,"I feel my body resisting, and in my mind I say, ""I really don't like doing things that I'm just pushed into"". I think of a New Year's gathering. I am looking at it from a first-person perspective. I am looking at Anna opposite me, laughing. Jože is next to me. The lights are on. I repeat the memory of the meeting. I say to myself: 'If I had been the organiser, I would have prepared better. "" For a moment, a mental image of the board game Catan flashes before my eyes. I started looking for an interesting activity to do next time we meet. I feel that the image and the feeling want to connect. I want to get a certain feeling of excitement. But it remains an empty space. Because the feeling I want to achieve is not connected to any mental image. At that moment the phone starts ringing, so I stop my mental wandering.",
25.12.2022 10:52:26,3876,Random sampling,1 - 5 Minutes,Yes,Observing / Analysing others,imagining another person's present moment,No,,,No,No,3,2,"relaxed, neutral","I was sitting on the steps in front of the social work fax and staring at the road. I was waiting for my mother to pick me up. The mind wandering ended when a stranger passing by said to me, ""Imagination is infinite"".","I'm waiting for my mum to pick me up. I see the image in my mind, very clearly, like a quick video. I look at the road from a bird's-eye view and see a little dot moving. This symbolises my mother's car. I don't feel anything special that I can put into words. Then a stranger walks past and speaks to me. I shiver and twitch a little, as I was completely lost in thought. I answer him kindly and notice that I have wandered off.","While sitting on the stairs, I had several episodes of mindwandering... I was switching between mindwandering episods and observing my surroundings."
25.12.2022 11:25:50,3876,Purposeful sampling,< 1 Minute,Yes,"Conversation, Observing / Analysing others",Passive replaying of a memory,Yes,Positive,6,Yes,Yes,5,5,"warmth, pride, connectedness",I was sitting on the steps in front of the social work fax and staring at the road. I was waiting for my mother to pick me up. I re-lived the interaction I had with Thea 10 minutes ago.,"I was reliving my meeting with Tea after the lecture. I vaguely saw us walking down the stairs of the fax towards the toilets. Then the next picture was as if I was watching us from a distance. I am standing outside the toilet as an observer, the door to the toilet is open, and I am watching us facing each other, talking and laughing. Suddenly the picture changes, I, as the observer, am in the toilet with Téa, watching three classmates watching us and waiting for Téa. They ask her if she has time for her term paper now. Tea answers them that she does not now. I feel a sense of pride in that moment, I interpret this as her enjoying my company so much that she wants to spend more time with me. Then I imagine how these classmates admire me because I am friends with Tea. I feel a warmth in my body, a pride. I feel the images and thoughts disappear, but I want to hold on to them.",
25.12.2022 20:30:02,3876,Purposeful sampling,5 - 10 Minutes,Yes,"Activity, Observing / Analysing others",Passive replaying of a memory,Yes,Positive,6,Yes,Yes,5,6,"nostalgic, prideful",I'm riding in the passenger seat of a car with my boyfriend. We are going on a trip to Kranjska Gora. My mind wandering starts when I am driving towards the tunnel and I think: How the locals cross the motorway. I write my mindwandering down half an hour later when I remember that I was thinking about the Mrge group.,"I watch the village through the car window as we drive towards the tunnel. A thought occurs to me, which I say in my mind in the form of a sentence: 'How do the locals cross the motorway?', I answer in my mind, I hear my voice say: 'Maybe they have a forest path'. Immediately after that, I see a quick bird's-eye view of a narrow overgrown path and a lot of forest around. It is just a mental picture, I cannot see it clearly, but I can feel it. Then I remember that we used to walk here in high school with the Mrge group. I see a picture of us struggling to walk down the hill and the ball that got away from us. The next picture is a bird's-eye view of our group walking through the Kras  I say to myself in my mind: 'Gosh, how did we walk here?'. I answer to myself: 'That is why we chose Prekmurje'. I think: 'Gosh, it's boring walking on the plain path Finally, here is a bird's eye view of our group talking to the headmaster. I imagine he is admiring us. I feel a sense of pride and excitement.",
25.12.2022 20:51:31,3876,Random sampling,1 - 5 Minutes,Yes,"Conversation, Activity, Observing / Analysing others",Imagination of future,Yes,Positive,4,Yes,"Both, it changed over time",4,2,connected,"I'm in the bathroom washing my face.  I don't remember how it started, it ended with a beep on my phone.","I can imagine me and my cousin going to an ecoresort. The first thing that pops into my mind is a shot of us climbing over the fence in the dark. Then I see a shot of us standing at the bar. From a distance, I see us talking to the waitress, and she is answering us. I can't hear the conversation, I can only see the gestures of us moving. I see the lights on. Then the next shot is of me and my cousin sitting at the table, and I am watching my cousin prom a first person perspective. I start talking to myself. I ask myself: 'Can Lina order hot wine?' Then I say a sentence in my mind, as if I were saying to her: ""You can order hot wine, but I don't know if the waitress will sell it to you."". My cousin says nothing, she is just present. The phone beeps.",
26.12.2022 10:18:29,3876,Purposeful sampling,< 1 Minute,Yes,Activity,"Planning, Imagination of future",Yes,Positive,4,Yes,"Both, it changed over time",5,5,sense of excitement,I was walking from Bavarec towards the main bus station. I was in a hurry because I was chasing the next train. The mindwandering started when I saw a flyer for a Sidarthe concert. And it ended when I got to the traffic light where the light was red.,"I see the Sidarta poster and remember that Big Foot Mama will be in Kamnik. I ask myself: 'What are we going to do with Lina?' As an answer to the question, a mental image of a concert stage appears, with Bigfootmama on it. Lina and I are on the periphery of the crowd, my gaze is directed towards the stage. It is an evening concert. I feel a sense of excitement. I think, maybe this could be the interesting activity I have been looking for.",
26.12.2022 10:40:05,3876,Purposeful sampling,< 1 Minute,Yes,"Conversation, Observed by others, Observing / Analysing others","Problem solving, Imagination of future",Yes,Positive,6,I don't know,No,2,5,"overwhelmed, playful","I was vacuuming the bedroom, and I had just turned on the hook-up. Then I thought about lunch. So it came in the form of the thought of going to my mother-in-law's for lunch this afternoon. I don't know when or why the mindwandering ended, but I remembered it 15 minutes later and wrote it down.","I thought about how it would have been if Tina had asked me during lunch why I had told that her father had an operation. I tried to imagine her reaction. I pictured a mental picture of us all sitting at my mother-in-law's table having lunch and Tina saying that I had told everyone about the operation. I don't hear her saying it, there is just the knowledge that it is a topic of conversation. Then I reply that it wasn't me, it was Jože. I don't say it in my head, there is just a feeling that I have communicated it to the people at the table. At that moment I imagine that they are all surprised and embarrassed because they have accused me. I try to absorb their guilt as much as possible, it is a good feeling, I think to myself. I feel like a hero.",
26.12.2022 10:51:02,3876,Purposeful sampling,< 1 Minute,Yes,"Observed by others, Observing / Analysing others","Playing around, Imagination of future",Yes,Positive,5,Yes,Yes,6,6,"pride, joyful","I was cleaning the apartment with a vacuum cleaner, and I started to guess what the guests' reaction would be when they saw the apartment. I don't remember why the mindwandering ended. I wrote it down half an hour later.","The thought occurred to me, today the apartment will be really clean. I tried to imagine my mother-in-law's reaction. I saw a mental picture of her walking around the flat and praising me. I didn't hear the words, I just knew that this was the context of the conversation. I can imagine her saying to me, ""It's especially clean today"". I feel pride, joy. ",
26.12.2022 14:13:39,3876,Purposeful sampling,1 - 5 Minutes,Yes,"Conversation, Observing / Analysing others",Active replaying of a memory,Yes,Positive,6,No,"Both, it changed over time",2,2,"proud, joyful","My boyfriend and I were on a hike from St Primož. We were walking and talking. The mind wandering started when my boyfriend started talking about capitalism. The topic didn't interest me, so I guess I got carried away. It ended when my boyfriend asked me If I was listening to him.","The image of the path begins to fade, the spruces and stones disappear, and the boyfriend's voice becomes muffled and fades into the background. My attention shifts to the conversation in my head. This shift is sudden. It was not provoked by any association. It just happens and comes out of nowhere. Like a force that transports you to another atmosphere, another story.
I cannot see clearly what is going on, but there is an awareness that tells me what is going on and where I am. I am in the picnic area (zone 70), two months ago. I know this place; I am convinced I have been there before. It is so strong feeling that I know this place, is real. I cannot see a sharp image, but the feeling tells me it's sunny and hot. I believe this is just memory and I am reliving it right now. I see myself from a 3-person perspective. I lean on the table and say something to a colleague. I hear myself saying, ""I have had enough for today, let us go home."" I am seeing this from a bird's eye view. I see the top of the tent and the top of our hands turning toward each other and moving our hands. It's like looking down on us from a tall tree. And we look small. I flip through my speech three times from beginning to end. 
The impressions of the picnic area begin to fade, my vision focuses back to the path. I hear the question, ""Are you even listening to me?"" I am aware that it has carried me away. Now I see everything with my own eyes. I apologize to my boyfriend and begin to think about my mind wandering. Why and how it brought me to that particular memory. My conclusion is that I do not know.
Now my attention is back on the road.
",
